Parent,Child,age_ch,t,species
298,299,3,2,NA
297,300,3.5,3.434680434599091,NA
275,301,12.832818676867326,7.230741868789593,NA
301,302,9.594780810553086,3.23803786631424,NA
302,303,7.344061485036874,2.2507193255162123,NA
303,304,4.5,2.8440614850368737,NA
227,305,10,21.304726958216403,NA
210,306,27.937575000000002,9.745747593628565,NA
306,307,22.75005,5.187525000000001,NA
307,308,8.7501,13.999950000000002,NA
308,309,5,3.7500999999999998,NA
209,310,32.438952625,7.268807573418314,NA
310,311,28,4.438952624999999,NA
310,312,24.502905249999998,7.936047375000001,NA
312,313,8.5058105,15.997094749999997,NA
208,314,26.87498,14.40708271282763,NA
314,315,11.74995,15.12503,NA
315,316,2.5,9.24995,NA
314,317,2.00001,24.87497,NA
205,318,45.28057773800279,3.290720275977293,NA
318,319,43.753019128797035,1.5275586092057551,NA
319,320,42.151004376335855,1.60201475246118,NA
320,321,6,36.151004376335855,NA
320,322,40.12797817987033,2.0230261964655227,NA
322,323,37.88043370134263,2.2475444785277006,NA
323,324,36.154890037984316,1.7255436633583159,NA
324,325,34.66764337674931,1.4872466612350053,NA
325,326,31.661786753498617,3.0058566232506934,NA
326,327,30.116020596453566,1.5457661570450512,NA
327,328,25.41647315094818,4.699547445505388,NA
328,329,23.678259775391503,1.7382133755566755,NA
329,330,15.7728,7.905459775391503,NA
330,331,7.5459,8.2269,NA
329,332,21.12535,2.5529097753915018,NA
332,333,13.2502,7.875150000000001,NA
333,334,8,5.2501999999999995,NA
327,335,28.299168041958954,1.8168525544946128,NA
335,336,26.792517959539147,1.5066500824198066,NA
336,337,24.14991175437955,2.6426062051595984,NA
337,338,22.797010674347085,1.3529010800324635,NA
338,339,20.825703254570488,1.971307419776597,NA
339,340,18.514719565324793,2.3109836892456954,NA
340,341,15.977826893303343,2.53689267202145,NA
341,342,14.68086645241845,1.2969604408848934,NA
342,343,12.174132904836895,2.506733547581554,NA
343,344,8.692160578094132,3.4819723267427634,NA
344,345,6.261017853802619,2.4311427242915133,NA
345,346,4,2.2610178538026187,NA
336,347,17.909291677924934,8.883226281614213,NA
347,348,15.954935213260914,1.95435646466402,NA
348,349,13.9999,1.9550352132609135,NA
347,350,9.046900937499998,8.862390740424935,NA
350,351,8.125001874999999,0.9218990624999996,NA
351,352,4.250003749999999,3.8749981249999994,NA
352,353,3.0000074999999997,1.2499962499999997,NA
353,354,1.7500149999999999,1.2499924999999998,NA
354,355,1.5,0.2500149999999999,NA
326,356,2.500005,29.161781753498616,NA
356,357,1.5,1.0000049999999998,NA
319,358,24.46324187600708,19.289777252789957,NA
358,359,23.100319412144145,1.3629224638629331,NA
359,360,21.16690108540244,1.9334183267417053,NA
360,361,12.270563291227582,8.896337794174858,NA
361,362,10.531225,1.7393382912275825,NA
